iter	Passed	Remaining
0	0	74
1	1	65
2	1	61
3	2	58
4	3	57
5	3	55
6	4	58
7	4	57
8	5	58
9	6	56
10	6	55
11	7	54
12	8	53
13	8	52
14	9	51
15	9	51
16	10	50
17	11	50
18	11	49
19	12	48
20	12	48
21	13	48
22	14	48
23	15	48
24	16	48
25	16	48
26	17	47
27	18	46
28	18	46
29	19	45
30	19	44
31	20	43
32	21	42
33	21	41
34	22	41
35	22	40
36	23	40
37	24	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	58	4
93	58	3
94	59	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
